City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cidreira,BR,2023-01-19 22:03:05,-30.1811,-50.2056,74.64,87,76,14.18
1,Kruisfontein,ZA,2023-01-19 22:03:05,-34.0033,24.7314,68.88,92,1,4.85
2,Rikitea,PF,2023-01-19 21:59:39,-23.1203,-134.9692,77.67,71,99,1.54
3,Krasnozavodsk,RU,2023-01-19 22:03:06,56.45,38.2167,34.14,98,100,14.0
4,Seoul,KR,2023-01-19 22:03:07,37.5683,126.9778,33.19,57,68,14.34
5,Jamestown,US,2023-01-19 21:57:22,42.097,-79.2353,45.99,59,96,1.99
6,Nikolskoye,RU,2023-01-19 22:03:08,59.7035,30.7861,33.8,93,100,3.96
7,Bredasdorp,ZA,2023-01-19 22:03:08,-34.5322,20.0403,66.72,83,2,1.32
8,Silvino Lobos,PH,2023-01-19 22:03:09,12.3,124.8333,73.74,99,92,4.29
9,Ngunguru,NZ,2023-01-19 22:03:09,-35.6167,174.5,70.48,63,6,5.97
10,Iqaluit,CA,2023-01-19 22:03:09,63.7506,-68.5145,-9.31,76,100,0.0
11,Tateyama,JP,2023-01-19 22:03:10,34.9833,139.8667,42.1,77,90,5.03
12,Qaanaaq,GL,2023-01-19 22:03:11,77.484,-69.3632,-30.64,51,0,7.05
13,Rio Grande,BR,2023-01-19 22:03:11,-32.035,-52.0986,77.11,76,51,14.97
14,Petropavlovsk-Kamchatskiy,RU,2023-01-19 22:03:12,53.0452,158.6483,10.99,67,75,4.47
15,Altay,CN,2023-01-19 22:03:12,47.8667,88.1167,-6.68,77,10,5.61
16,Bambous Virieux,MU,2023-01-19 22:03:13,-20.3428,57.7575,77.25,94,75,6.91
17,Tasiilaq,GL,2023-01-19 22:03:13,65.6145,-37.6368,10.56,96,100,2.06
18,Oktyabrskiy,RU,2023-01-19 22:03:14,54.4815,53.471,-2.67,85,20,4.83
19,Avarua,CK,2023-01-19 22:03:14,-21.2078,-159.775,82.45,78,40,18.41
20,Provideniya,RU,2023-01-19 21:59:43,64.3833,-173.3,-14.69,70,0,4.47
21,Vardo,NO,2023-01-19 22:03:15,70.3705,31.1107,24.78,74,100,13.8
22,Sydney Mines,CA,2023-01-19 22:03:16,46.2367,-60.2177,35.91,84,78,8.99
23,Nyurba,RU,2023-01-19 22:03:16,63.2842,118.3319,-40.07,100,98,1.1
24,Dunmore Town,BS,2023-01-19 22:03:16,25.5,-76.65,75.45,63,63,8.72
25,Moerai,PF,2023-01-19 22:03:17,-22.4333,-151.3333,78.28,78,12,12.03
26,Mataura,NZ,2023-01-19 22:03:17,-46.1927,168.8643,70.21,36,69,4.23
27,Sanduleni,RO,2023-01-19 22:03:18,46.45,26.7333,46.9,81,75,3.44
28,Ankang,CN,2023-01-19 22:03:18,32.68,109.0172,36.37,54,65,1.34
29,Piacabucu,BR,2023-01-19 22:03:18,-10.4056,-36.4344,77.74,76,97,7.27
30,Reo,BF,2023-01-19 21:59:12,12.3167,-2.4667,75.92,14,37,8.5
31,Teshie,GH,2023-01-19 22:03:19,5.5836,-0.1072,81.52,80,5,8.3
32,Port Alfred,ZA,2023-01-19 22:03:20,-33.5906,26.891,70.18,96,57,1.99
33,Albany,US,2023-01-19 22:03:16,42.6001,-73.9662,35.22,92,100,2.59
34,Cayenne,GF,2023-01-19 21:59:10,4.9333,-52.3333,78.84,78,20,8.05
35,Yellowknife,CA,2023-01-19 22:03:21,62.456,-114.3525,14.56,85,39,5.99
36,Astoria,US,2023-01-19 22:03:21,46.1879,-123.8313,47.86,78,0,4.61
37,Hobart,AU,2023-01-19 21:57:58,-42.8794,147.3294,62.26,68,20,13.8
38,Hermanus,ZA,2023-01-19 22:03:22,-34.4187,19.2345,62.8,87,2,4.52
39,Longyearbyen,SJ,2023-01-19 21:59:38,78.2186,15.6401,31.84,64,40,20.71
40,Busselton,AU,2023-01-19 21:59:38,-33.65,115.3333,65.21,60,51,11.77
41,Yulara,AU,2023-01-19 22:03:23,-25.2406,130.9889,75.25,25,99,10.74
42,Punta Arenas,CL,2023-01-19 21:55:17,-53.15,-70.9167,59.11,72,75,4.61
43,Hasaki,JP,2023-01-19 22:03:24,35.7333,140.8333,41.22,86,100,10.29
44,Bubaque,GW,2023-01-19 22:03:24,11.2833,-15.8333,78.46,72,25,9.89
45,Machali,CL,2023-01-19 22:03:25,-34.1833,-70.6667,72.68,53,0,16.11
46,Quatre Cocos,MU,2023-01-19 22:03:25,-20.2078,57.7625,77.11,93,100,4.68
47,Ushuaia,AR,2023-01-19 22:04:26,-54.8,-68.3,51.67,82,100,2.48
48,Umm Lajj,SA,2023-01-19 22:04:26,25.0213,37.2685,72.3,56,0,6.24
